행 이름,Card ID,Card Name,Description,Category,Rarity,Max Stack,Weight,Gameplay Effect Class,Granted Ability Class,Icon,bIsMVP
A01,A01,잿불 검격,"기본 공격 피해 증가
(+8%)",공격,일반,3,60.000000,None,None,None,TRUE
A02,A02,피의 갈증,"체력 50% 이하 적 대상 피해 증가
(+15%)",공격,일반,2,60.000000,None,None,None,TRUE
A03,A03,추격의 일격,"회피 직후 2초간 다음 공격 피해 증가
(+20%)",공격,고급,1,30.000000,None,None,None,TRUE
A04,A04,화염 각인,"공격 적중 시 화상 축적
(+12/타)",공격,고급,5,30.000000,None,None,None,FALSE
A05,A05,균열 베기,"강공격 적중 시 짧은 충격파 발생
(공격력의 60%)",공격,고급,3,30.000000,None,None,None,FALSE
A06,A06,처형자의 맹세,"강공격 치명 보정 증가
(+25%)",공격,희귀,2,10.000000,None,None,None,FALSE
A07,A07,심연의 참격,"후방 공격 피해 증가
(+30%)",공격,희귀,2,10.000000,None,None,None,FALSE
A08,A08,성흔 폭발,"10회 적중 시 추가 폭발 피해 발생
(공격력의 180%)",공격,전설,1,3.000000,None,None,None,FALSE
D01,D01,재의 갑주,"받는 피해 감소
(-6%)",방어,일반,3,60.000000,None,None,None,TRUE
D02,D02,흔들리지 않는 자세,"피격 시 경직 감소
(+20%)",방어,일반,2,60.000000,None,None,None,FALSE
D03,D03,수호의 맥박,"보스 패턴 종료 후 3초간 피해 감소
(-15%)",방어,고급,1,30.000000,None,None,None,FALSE
D04,D04,응고된 재,"최대 체력 증가
(+12%)",방어,고급,3,30.000000,None,None,None,TRUE
D05,D05,축성 장막,"치명적인 피해를 1회 버티고 무적 1초
(쿨다운 90초)",방어,희귀,1,10.000000,None,None,None,FALSE
D06,D06,순교자의 보호,"체력 30% 이하에서 피해 감소 및 슈퍼아머
(-25%)",방어,전설,1,3.000000,None,None,None,FALSE
M01,M01,긴급 회피,"회피 거리 증가
(+12%)",기동,일반,3,60.000000,None,None,None,TRUE
M02,M02,가벼운 발걸음,"이동 속도 증가
(+8%)",기동,일반,3,60.000000,None,None,None,FALSE
M03,M03,잔상 이동,"완벽 회피 시 짧은 이동속도 버프
(+20% 2초)",기동,고급,1,30.000000,None,None,None,FALSE
M04,M04,무영의 구르기,"회피 중 무적 시간 증가
(+0.15초)",기동,희귀,2,10.000000,None,None,None,TRUE
M05,M05,검은 날개,"연속 회피 시 세 번째 회피에 그림자 폭발
(공격력의 120%)",기동,전설,1,3.000000,None,None,None,FALSE
P01,P01,반격의 본능,"패링 성공 시 다음 공격 피해 증가
(+18%)",패링/스킬,일반,1,60.000000,None,None,None,TRUE
P02,P02,고요한 순간,"패링 성공 시 적 스태거 누적 증가
(+25%)",패링/스킬,고급,3,30.000000,None,None,None,TRUE
P03,P03,잿빛 반격,"패링 성공 시 고정 반격 피해
(공격력의 80%)",패링/스킬,고급,1,30.000000,None,None,None,FALSE
P04,P04,예지의 눈,"패턴 시작 순간 짧은 슬로우 연출
(0.25초)",패링/스킬,희귀,1,10.000000,None,None,None,FALSE
P05,P05,심판의 종,"3회 연속 패링 성공 시 강제 그로기
(즉시 그로기)",패링/스킬,전설,1,3.000000,None,None,None,FALSE
R01,R01,잔불 흡수,"적 처치/보스 부위 파괴 시 체력 회복
(최대 체력의 3%)",자원/회복,일반,3,60.000000,None,None,None,FALSE
R02,R02,열기의 순환,"스태미나 회복 속도 증가
(+10%)",자원/회복,일반,3,60.000000,None,None,None,TRUE
R03,R03,끓어오르는 혈맥,"공격 적중 시 스태미나 소량 회복
(+4)",자원/회복,고급,3,30.000000,None,None,None,TRUE
R04,R04,생환 의식,"보스 페이즈 전환 시 체력 회복
(최대 체력의 12%)",자원/회복,고급,1,30.000000,None,None,None,FALSE
R05,R05,성배의 잔재,"회복 사용 시 5초간 공격/방어 증가
(+10%)",자원/회복,희귀,1,10.000000,None,None,None,FALSE
R06,R06,불멸의 재,"사망 시 1회 부활 후 체력 35% 회복
(1회)",자원/회복,전설,1,3.000000,None,None,None,FALSE
